2Theta,Ortho,Tetrag
33.04853028,1163.054831	,1215.827446
33.07453028,1245.9939	,1306.663211
33.10053028,1223.018406	,1357.332075
33.12653028,1252.850339	,1292.083756
33.15253028,1254.512632	,1284.532728
33.17853028,1164.931031	,1315.494973
33.20453028,1223.422938	,1308.498895
33.23053028,1247.519698	,1315.363801
33.25653028,1234.969733	,1277.93548
33.28253028,1180.251261	,1220.649546
33.30853028,1268.640808	,1247.261087
33.33453028,1243.936669	,1330.720562
33.36053028,1229.085503	,1271.315898
33.38653028,1292.047451	,1249.33957
33.41253028,1224.754799	,1267.535159
33.43853028,1369.711359	,1316.266517
33.46453028,1250.829486	,1299.860004
33.49053028,1393.42392	,1299.009306
33.51653028,1415.835256	,1244.575638
33.54253028,1437.367698	,1309.484274
33.56853028,1524.145107	,1317.755704
33.59453028,1582.719694	,1296.277134
33.62053028,1624.730884	,1367.448285
33.64653028,1583.841855	,1275.042035
33.67253028,1590.27205	,1213.841825
33.69853028,1508.023716	,1302.252417
33.72453028,1446.22228	,1327.280683
33.75053028,1397.401233	,1366.234501
33.77653028,1381.648886	,1280.201939
33.80253028,1317.219288	,1271.923346
33.82853028,1294.214018	,1259.316141
33.85453028,1202.503086	,1272.942598
33.88053028,1262.246034	,1270.637574
33.90653028,1266.492025	,1249.345798
33.93253028,1207.645878	,1310.79794
33.95853028,1198.142151	,1287.840945
33.98453028,1237.091131	,1292.415222
34.01053028,1229.590293	,1318.921696
